Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,23.7615822994204,23.0692820412923
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,22.754485726599,24.0486348220803
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Egypt, Arab Rep."",EGY,13.1838454928598,16.6440314510365"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,29.4861730232304,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,56.6584738218082,51.1307495482003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,77.4354984416443,73.3595544405733
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,9.36331359735926,7.9399766087609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,53.2164924640527,55.7697162765718
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,48.8367555799083,48.4609021522354
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,35.4069588665232,39.8806794019795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,30.5926223781313,31.5920554143668
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,19.613765074754,20.5923590296429
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,46.0320085043705,51.4310732271996
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Gambia, The"",GMB,19.59633316034,18.8413979684695"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,40.1372493342596,54.3043084100873
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,46.920738356608,47.1275808768289
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,33.8317048233696,37.4495998625311
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,32.1271612438756,40.1107639268746
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,37.5798451272169,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,18.0720813933437,22.2501966955153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,19.8299076925978,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,21.4968703897159,35.042049336042
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,25.0467119622253,27.0026855948093
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,11.767746984448,10.5576734334849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,45.1667574562581,40.2189637388964
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Hong Kong SAR, China"",HKG,195.89760161449,177.651315174364"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,87.5264509328171,81.5297406120423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,51.6517214467662,43.7132484395931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,19.8131891564097,18.6642648972528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,21.1601792601373,18.5915277973681
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Iran, Islamic Rep."",IRN,18.7208345068656,23.4838672675323"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,34.5141464410956,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,121.850238402927,128.004242909111
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,31.1712490255778,29.0493529523896
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,29.7159823723612,31.6024197276206
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,29.9216654806929,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,17.4367598376529,17.4635264275221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,36.5444370225267,36.6712029623066
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,28.5167080072354,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,15.1287339034504,11.4279966637126
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,13.9331505882353,14.9861483974359
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Korea, Dem. People's Rep."",PRK,..,.."
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Korea, Rep."",KOR,42.989561527711,39.2758610673609"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,22.4513928552736,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,53.7662579967846,52.3310917890614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,35.1896004872594,33.4764696600324
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,33.9522573081909,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,60.2753827650078,60.0210271401091
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,23.1396677268024,20.6977589567577
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,42.8918037123102,46.2093281781161
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,22.2273741215145,41.2612030672135
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,68.7776407338805,77.2441152993638
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,191.835449041844,206.411649793168
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Macao SAR, China"",MAC,78.5067332391829,82.706393125478"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North Macedonia,MKD,48.7379999069691,62.4080567878813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,28.3906461296836,28.4244012431975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,69.4486908970754,65.2777668428576
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,24.0437085118274,25.7052911327686
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,154.618155592318,163.818082515006
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,44.3573572553207,37.2063266205984
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,30.1951447553349,42.3975240406607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,51.4978524051162,44.6671405250455
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,34.1627726873238,38.4970333000564
"Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,""Micronesia, Fed. Sts."",FSM,27.0650027062475,26.7941370558376"
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,31.8069217883307,31.1910849579769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mongolia,MNG,44.1840502346828,59.2172331806539
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Montenegro,MNE,42.1180721256354,43.8466387797969
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,29.9958538899695,34.093057468891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,32.5722935328402,37.1420563594711
